ASIN,PT,height cm,width cm,length cm
B084BZYYQQ,AROMA_DIFFUSER,13.0,7.0,7.0
B084FMBJX1,AROMA_DIFFUSER,16.0,7.0,7.0
B0995MTHDS,AROMA_DIFFUSER,9.54,10.6,10.6
B071ND71SF,AROMA_DIFFUSER,12.0,10.0,10.0
B08926ZKPF,AROMA_DIFFUSER,11.6,11.4,11.4
B09DG258WW,AROMA_DIFFUSER,11.0,15.0,15.0
B07K3BV4X6,AROMA_DIFFUSER,22.4,15.8,15.8
B08WH9KMCW,AROMA_DIFFUSER,12.0,9.5,9.5
B09FLCBY4X,AROMA_DIFFUSER,11.0,15.0,15.0
B094RQKXXF,AROMA_DIFFUSER,14.0,6.0,6.0
B00NVMUA5E,AROMA_DIFFUSER,13.2,13.2,13.2
B098T1Z5YD,AROMA_DIFFUSER,9.8,13.0,13.0
B078VGJPKD,AROMA_DIFFUSER,7.2,16.6,16.6
B071VG6P5Y,AROMA_DIFFUSER,21.5,16.85,16.85
B08SM1XQ24,AROMA_DIFFUSER,16.0,9.0,9.0
B00NGGD31S,AROMA_DIFFUSER,13.0,21.0,21.0
B08S6KN2TP,AROMA_DIFFUSER,14.0,13.0,13.0
B08Y5KTYZ3,AROMA_DIFFUSER,15.0,13.0,13.0
B08GLRW16D,AROMA_DIFFUSER,9.5,16.6,16.6
B01G2L5HA8,AROMA_DIFFUSER,12.6,18.4,18.4
B07H2J7VRP,AROMA_DIFFUSER,14.6,11.5,11.5
B08Y5NH8X2,AROMA_DIFFUSER,15.0,13.0,13.0
B00ES4BDQO,AROMA_DIFFUSER,13.5,15.0,15.0
B08RJ59H6T,AROMA_DIFFUSER,14.0,9.0,9.0
B08PW5W1JC,AROMA_DIFFUSER,14.0,9.0,9.0
B091FGCJ33,AROMA_DIFFUSER,15.0,13.0,13.0
B09DXGJPFJ,AROMA_DIFFUSER,14.3,10.9,10.9
B07ZRYLLRG,AROMA_DIFFUSER,14.3,17.0,17.0
B08JV9NZ5W,BED,25.0,80.0,192.0
B07Z7WF42N,BED,30.0,95.0,213.0
B008CJQ71C,BED,100.33,107.95,205.74
B075R7KMXK,BED,46.0,152.0,203.0
B017IMU89A,BED,76.0,190.0,215.0
B017IMUA7U,BED,76.0,190.0,215.0
B00RYQ8AOG,BED,114.0,112.0,202.0
B00HV7Z15O,BED,86.4,144.5,196.2
B00ULIE3Y0,BED,164.5,176.5,201.3
B078HNGN1W,BED,138.0,170.0,220.0
B07B2Y3JST,BED_FRAME,68.0,85.0,164.0
B083HYQG3R,BED_FRAME,146.0,86.0,168.0
B083HYLYCR,BED_FRAME,146.0,86.0,168.0
B087K4RPXS,BED_FRAME,40.6,80.0,190.0
B086W5RS5L,BED_FRAME,80.5,90.5,196.5
B07RK1SB2M,BED_FRAME,94.0,98.0,198.0
B084DPHJGX,BED_FRAME,94.0,99.5,207.0
B08CK8BZ2Y,BED_FRAME,97.0,101.0,207.0
B08Z7TSN7X,BED_FRAME,88.5,139.0,198.0
B07Z8WR8L4,BED_FRAME,66.0,125.0,213.0
B01MYQET8A,BED_FRAME,88.3,142.0,198.0
B08X48GHFC,BED_FRAME,88.0,143.0,198.0
B00JJ56ATW,BED_FRAME,82.0,143.0,199.0
B08DG43K63,BED_FRAME,150.0,146.0,196.0
B08XB5RLHB,BED_FRAME,63.0,150.0,208.0
B0811MJNFZ,BED_FRAME,60.0,166.0,206.0
B08BYCSB6D,BED_FRAME,134.0,161.8,224.5
B00DVG9OMK,BED_FRAME,78.0,106.0,199.0
B07FCR9BN6,BED_FRAME,120.7,110.5,201.3
B0823D3D8J,BED_FRAME,83.7,142.7,197.0
